question_id,subject,topic,question,difficulty,option_a,option_b,option_c,option_d,correct_answer,explanation
Q0101A,DSA,Arrays,Which statement best describes Arrays?,Easy,array elements are stored at contiguous memory locations,arrays always grow without reallocation,array lookup requires scanning every item,arrays store only integers,A,Array elements are stored at contiguous memory locations.
Q0101B,DSA,Arrays,"In a practical problem involving Arrays, which principle should guide your solution?",Medium,arrays always grow without reallocation,array lookup requires scanning every item,array elements are stored at contiguous memory locations,arrays store only integers,C,Array elements are stored at contiguous memory locations.
Q0101C,DSA,Arrays,Which design decision is most consistent with the core principle of Arrays?,Hard,array lookup requires scanning every item,arrays store only integers,arrays always grow without reallocation,array elements are stored at contiguous memory locations,D,Array elements are stored at contiguous memory locations.
Q0102A,DSA,Strings,Which statement best describes Strings?,Easy,strings are sequences of characters,strings cannot be indexed,strings are always mutable,strings contain only letters,A,Strings are sequences of characters.
Q0102B,DSA,Strings,"In a practical problem involving Strings, which principle should guide your solution?",Medium,strings cannot be indexed,strings are always mutable,strings are sequences of characters,strings contain only letters,C,Strings are sequences of characters.
Q0102C,DSA,Strings,Which design decision is most consistent with the core principle of Strings?,Hard,strings are always mutable,strings contain only letters,strings cannot be indexed,strings are sequences of characters,D,Strings are sequences of characters.
Q0103A,DSA,Linked Lists,Which statement best describes Linked Lists?,Easy,a linked-list node stores data and a link to another node,nodes must occupy contiguous memory,linked lists provide constant-time indexing,a list cannot be empty,A,A linked-list node stores data and a link to another node.
Q0103B,DSA,Linked Lists,"In a practical problem involving Linked Lists, which principle should guide your solution?",Medium,nodes must occupy contiguous memory,linked lists provide constant-time indexing,a linked-list node stores data and a link to another node,a list cannot be empty,C,A linked-list node stores data and a link to another node.
Q0103C,DSA,Linked Lists,Which design decision is most consistent with the core principle of Linked Lists?,Hard,linked lists provide constant-time indexing,a list cannot be empty,nodes must occupy contiguous memory,a linked-list node stores data and a link to another node,D,A linked-list node stores data and a link to another node.
Q0104A,DSA,Stack & Queue,Which statement best describes Stack & Queue?,Easy,"a stack follows Last-In, First-Out order","a stack follows First-In, First-Out order",a stack removes arbitrary elements,a stack needs sorted data,A,"A stack follows last-in, first-out order."
Q0104B,DSA,Stack & Queue,"In a practical problem involving Stack & Queue, which principle should guide your solution?",Medium,"a stack follows First-In, First-Out order",a stack removes arbitrary elements,"a stack follows Last-In, First-Out order",a stack needs sorted data,C,"A stack follows last-in, first-out order."
Q0104C,DSA,Stack & Queue,Which design decision is most consistent with the core principle of Stack & Queue?,Hard,a stack removes arbitrary elements,a stack needs sorted data,"a stack follows First-In, First-Out order","a stack follows Last-In, First-Out order",D,"A stack follows last-in, first-out order."
Q0105A,DSA,Recursion,Which statement best describes Recursion?,Easy,a recursive algorithm needs a base case to terminate,recursion never uses a call stack,every recursion is faster than iteration,a base case repeats the call,A,A recursive algorithm needs a base case to terminate.
Q0105B,DSA,Recursion,"In a practical problem involving Recursion, which principle should guide your solution?",Medium,recursion never uses a call stack,every recursion is faster than iteration,a recursive algorithm needs a base case to terminate,a base case repeats the call,C,A recursive algorithm needs a base case to terminate.
Q0105C,DSA,Recursion,Which design decision is most consistent with the core principle of Recursion?,Hard,every recursion is faster than iteration,a base case repeats the call,recursion never uses a call stack,a recursive algorithm needs a base case to terminate,D,A recursive algorithm needs a base case to terminate.
Q0106A,DSA,Trees,Which statement best describes Trees?,Easy,a binary-search-tree left subtree contains smaller keys,all tree nodes have two children,a BST is always balanced,the right subtree contains smaller keys,A,A binary-search-tree left subtree contains smaller keys.
Q0106B,DSA,Trees,"In a practical problem involving Trees, which principle should guide your solution?",Medium,all tree nodes have two children,a BST is always balanced,a binary-search-tree left subtree contains smaller keys,the right subtree contains smaller keys,C,A binary-search-tree left subtree contains smaller keys.
Q0106C,DSA,Trees,Which design decision is most consistent with the core principle of Trees?,Hard,a BST is always balanced,the right subtree contains smaller keys,all tree nodes have two children,a binary-search-tree left subtree contains smaller keys,D,A binary-search-tree left subtree contains smaller keys.
Q0107A,DSA,Graphs,Which statement best describes Graphs?,Easy,breadth-first search explores vertices level by level,BFS always uses a stack,BFS only works on trees,BFS requires weighted edges,A,Breadth-first search explores vertices level by level.
Q0107B,DSA,Graphs,"In a practical problem involving Graphs, which principle should guide your solution?",Medium,BFS always uses a stack,BFS only works on trees,breadth-first search explores vertices level by level,BFS requires weighted edges,C,Breadth-first search explores vertices level by level.
Q0107C,DSA,Graphs,Which design decision is most consistent with the core principle of Graphs?,Hard,BFS only works on trees,BFS requires weighted edges,BFS always uses a stack,breadth-first search explores vertices level by level,D,Breadth-first search explores vertices level by level.
Q0108A,DSA,Hashing,Which statement best describes Hashing?,Easy,a hash function maps a key to an index or bucket,hashing sorts every key,collisions are impossible,a hash table uses binary search,A,A hash function maps a key to an index or bucket.
Q0108B,DSA,Hashing,"In a practical problem involving Hashing, which principle should guide your solution?",Medium,hashing sorts every key,collisions are impossible,a hash function maps a key to an index or bucket,a hash table uses binary search,C,A hash function maps a key to an index or bucket.
Q0108C,DSA,Hashing,Which design decision is most consistent with the core principle of Hashing?,Hard,collisions are impossible,a hash table uses binary search,hashing sorts every key,a hash function maps a key to an index or bucket,D,A hash function maps a key to an index or bucket.
Q0109A,DSA,Heap,Which statement best describes Heap?,Easy,a max-heap keeps the largest key at the root,a heap is fully sorted,a min-heap has the smallest key at every leaf,heap insertion is always O(n),A,A max-heap keeps the largest key at the root.
Q0109B,DSA,Heap,"In a practical problem involving Heap, which principle should guide your solution?",Medium,a heap is fully sorted,a min-heap has the smallest key at every leaf,a max-heap keeps the largest key at the root,heap insertion is always O(n),C,A max-heap keeps the largest key at the root.
Q0109C,DSA,Heap,Which design decision is most consistent with the core principle of Heap?,Hard,a min-heap has the smallest key at every leaf,heap insertion is always O(n),a heap is fully sorted,a max-heap keeps the largest key at the root,D,A max-heap keeps the largest key at the root.
Q0110A,DSA,Dynamic Programming,Which statement best describes Dynamic Programming?,Easy,dynamic programming reuses solutions to overlapping subproblems,DP ignores previous results,DP works only with graphs,DP requires recursion only,A,Dynamic programming reuses solutions to overlapping subproblems.
Q0110B,DSA,Dynamic Programming,"In a practical problem involving Dynamic Programming, which principle should guide your solution?",Medium,DP ignores previous results,DP works only with graphs,dynamic programming reuses solutions to overlapping subproblems,DP requires recursion only,C,Dynamic programming reuses solutions to overlapping subproblems.
Q0110C,DSA,Dynamic Programming,Which design decision is most consistent with the core principle of Dynamic Programming?,Hard,DP works only with graphs,DP requires recursion only,DP ignores previous results,dynamic programming reuses solutions to overlapping subproblems,D,Dynamic programming reuses solutions to overlapping subproblems.
Q0201A,DBMS,DBMS Basics,Which statement best describes DBMS Basics?,Easy,"a DBMS manages, stores, and retrieves structured data",a DBMS is only a programming language,a DBMS cannot enforce constraints,a DBMS stores no metadata,A,"A dbms manages, stores, and retrieves structured data."
Q0201B,DBMS,DBMS Basics,"In a practical problem involving DBMS Basics, which principle should guide your solution?",Medium,a DBMS is only a programming language,a DBMS cannot enforce constraints,"a DBMS manages, stores, and retrieves structured data",a DBMS stores no metadata,C,"A dbms manages, stores, and retrieves structured data."
Q0201C,DBMS,DBMS Basics,Which design decision is most consistent with the core principle of DBMS Basics?,Hard,a DBMS cannot enforce constraints,a DBMS stores no metadata,a DBMS is only a programming language,"a DBMS manages, stores, and retrieves structured data",D,"A dbms manages, stores, and retrieves structured data."
Q0202A,DBMS,Keys,Which statement best describes Keys?,Easy,a primary key uniquely identifies a row,a primary key may contain duplicate values,a primary key is always a foreign key,a primary key stores only numbers,A,A primary key uniquely identifies a row.
Q0202B,DBMS,Keys,"In a practical problem involving Keys, which principle should guide your solution?",Medium,a primary key may contain duplicate values,a primary key is always a foreign key,a primary key uniquely identifies a row,a primary key stores only numbers,C,A primary key uniquely identifies a row.
Q0202C,DBMS,Keys,Which design decision is most consistent with the core principle of Keys?,Hard,a primary key is always a foreign key,a primary key stores only numbers,a primary key may contain duplicate values,a primary key uniquely identifies a row,D,A primary key uniquely identifies a row.
Q0203A,DBMS,SQL,Which statement best describes SQL?,Easy,SELECT is used to retrieve data from a table,SELECT permanently deletes rows,SELECT creates a transaction,SELECT only changes schema,A,Select is used to retrieve data from a table.
Q0203B,DBMS,SQL,"In a practical problem involving SQL, which principle should guide your solution?",Medium,SELECT permanently deletes rows,SELECT creates a transaction,SELECT is used to retrieve data from a table,SELECT only changes schema,C,Select is used to retrieve data from a table.
Q0203C,DBMS,SQL,Which design decision is most consistent with the core principle of SQL?,Hard,SELECT creates a transaction,SELECT only changes schema,SELECT permanently deletes rows,SELECT is used to retrieve data from a table,D,Select is used to retrieve data from a table.
Q0204A,DBMS,Normalization,Which statement best describes Normalization?,Easy,normalization reduces redundancy and update anomalies,normalization guarantees faster every query,normalization removes all relationships,normalization duplicates attributes,A,Normalization reduces redundancy and update anomalies.
Q0204B,DBMS,Normalization,"In a practical problem involving Normalization, which principle should guide your solution?",Medium,normalization guarantees faster every query,normalization removes all relationships,normalization reduces redundancy and update anomalies,normalization duplicates attributes,C,Normalization reduces redundancy and update anomalies.
Q0204C,DBMS,Normalization,Which design decision is most consistent with the core principle of Normalization?,Hard,normalization removes all relationships,normalization duplicates attributes,normalization guarantees faster every query,normalization reduces redundancy and update anomalies,D,Normalization reduces redundancy and update anomalies.
Q0205A,DBMS,Joins,Which statement best describes Joins?,Easy,an INNER JOIN returns rows with matching values in both tables,an INNER JOIN returns every unmatched row,an INNER JOIN deletes unmatched rows,an INNER JOIN needs no join condition,A,An inner join returns rows with matching values in both tables.
Q0205B,DBMS,Joins,"In a practical problem involving Joins, which principle should guide your solution?",Medium,an INNER JOIN returns every unmatched row,an INNER JOIN deletes unmatched rows,an INNER JOIN returns rows with matching values in both tables,an INNER JOIN needs no join condition,C,An inner join returns rows with matching values in both tables.
Q0205C,DBMS,Joins,Which design decision is most consistent with the core principle of Joins?,Hard,an INNER JOIN deletes unmatched rows,an INNER JOIN needs no join condition,an INNER JOIN returns every unmatched row,an INNER JOIN returns rows with matching values in both tables,D,An inner join returns rows with matching values in both tables.
Q0206A,DBMS,Transactions,Which statement best describes Transactions?,Easy,ACID atomicity means a transaction happens completely or not at all,atomicity means data is encrypted,atomicity permits partial commits,atomicity removes concurrency,A,Acid atomicity means a transaction happens completely or not at all.
